ndc,ADHD,ANTIDEPRESSANT,ANTIPSYCHOTIC,MOODSTABILIZER,ANTIANXIETY,SLEEP
001151488,1,0,0,0,0,0
001151489,1,0,0,0,0,0
001151490,1,0,0,0,0,0
001151491,1,0,0,0,0,0
003784541,1,0,0,0,0,0
003784542,1,0,0,0,0,0
003784543,1,0,0,0,0,0
003784544,1,0,0,0,0,0
003784545,1,0,0,0,0,0
003784546,1,0,0,0,0,0
003784547,1,0,0,0,0,0
001850831,1,0,0,0,0,0
001850842,1,0,0,0,0,0
001850853,1,0,0,0,0,0
001850864,1,0,0,0,0,0
002283046,1,0,0,0,0,0
002283047,1,0,0,0,0,0
002283048,1,0,0,0,0,0
002283049,1,0,0,0,0,0
002283050,1,0,0,0,0,0
002283051,1,0,0,0,0,0
002283052,1,0,0,0,0,0
007812329,1,0,0,0,0,0
007812335,1,0,0,0,0,0
007812343,1,0,0,0,0,0
007812352,1,0,0,0,0,0
007812368,1,0,0,0,0,0
007812371,1,0,0,0,0,0
606870221,1,0,0,0,0,0
606870232,1,0,0,0,0,0
606870276,1,0,0,0,0,0
606870287,1,0,0,0,0,0
606870298,1,0,0,0,0,0
669930594,1,0,0,0,0,0
669930595,1,0,0,0,0,0
669930596,1,0,0,0,0,0
669930597,1,0,0,0,0,0
669930598,1,0,0,0,0,0
669930599,1,0,0,0,0,0
691890482,1,0,0,0,0,0
691890663,1,0,0,0,0,0
477810174,1,0,0,0,0,0
477810175,1,0,0,0,0,0
477810176,1,0,0,0,0,0
477810177,1,0,0,0,0,0
477810178,1,0,0,0,0,0
477810179,1,0,0,0,0,0
477810180,1,0,0,0,0,0
523430160,1,0,0,0,0,0
523430161,1,0,0,0,0,0
523430162,1,0,0,0,0,0
523430163,1,0,0,0,0,0
523430164,1,0,0,0,0,0
523430165,1,0,0,0,0,0
523430166,1,0,0,0,0,0
540920468,1,0,0,0,0,0
540920471,1,0,0,0,0,0
540920474,1,0,0,0,0,0
540920477,1,0,0,0,0,0
683820950,1,0,0,0,0,0
683820951,1,0,0,0,0,0
683820952,1,0,0,0,0,0
683820953,1,0,0,0,0,0
683820954,1,0,0,0,0,0
683820955,1,0,0,0,0,0
683820956,1,0,0,0,0,0
713350171,1,0,0,0,0,0
713350178,1,0,0,0,0,0
713350198,1,0,0,0,0,0
548683674,1,0,0,0,0,0
585210031,1,0,0,0,0,0
585210032,1,0,0,0,0,0
585210033,1,0,0,0,0,0
635520031,1,0,0,0,0,0
635520032,1,0,0,0,0,0
635520033,1,0,0,0,0,0
635520669,1,0,0,0,0,0
635520670,1,0,0,0,0,0
635520671,1,0,0,0,0,0
005550971,1,0,0,0,0,0
005550972,1,0,0,0,0,0
